model_key,mode,dataset_key,split,sample_count,correct_count,accuracy,jsonl_path,csv_path
qwen2_5_0_5b_instruct,few_shot,csqa,validation,100,47,0.47,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_0_5b_instruct_csqa.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_0_5b_instruct_csqa.csv
qwen2_5_0_5b_instruct,few_shot,gsm8k,test,100,10,0.1,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_0_5b_instruct_gsm8k.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_0_5b_instruct_gsm8k.csv
qwen2_5_0_5b_instruct,few_shot,mmlu,validation,100,23,0.23,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_0_5b_instruct_mmlu.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_0_5b_instruct_mmlu.csv
qwen2_5_1_5b_instruct,few_shot,csqa,validation,100,66,0.66,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_1_5b_instruct_csqa.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_1_5b_instruct_csqa.csv
qwen2_5_1_5b_instruct,few_shot,gsm8k,test,100,66,0.66,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_1_5b_instruct_gsm8k.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_1_5b_instruct_gsm8k.csv
qwen2_5_1_5b_instruct,few_shot,mmlu,validation,100,54,0.54,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_1_5b_instruct_mmlu.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/qwen2_5_1_5b_instruct_mmlu.csv
tinyllama_1_1b_chat,few_shot,csqa,validation,100,24,0.24,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/tinyllama_1_1b_chat_csqa.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/tinyllama_1_1b_chat_csqa.csv
tinyllama_1_1b_chat,few_shot,gsm8k,test,100,2,0.02,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/tinyllama_1_1b_chat_gsm8k.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/tinyllama_1_1b_chat_gsm8k.csv
tinyllama_1_1b_chat,few_shot,mmlu,validation,100,16,0.16,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/tinyllama_1_1b_chat_mmlu.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/few_shot/tinyllama_1_1b_chat_mmlu.csv
qwen2_5_0_5b_instruct,self_consistency,csqa,validation,100,43,0.43,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_0_5b_instruct_csqa.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_0_5b_instruct_csqa.csv
qwen2_5_0_5b_instruct,self_consistency,gsm8k,test,100,20,0.2,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_0_5b_instruct_gsm8k.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_0_5b_instruct_gsm8k.csv
qwen2_5_0_5b_instruct,self_consistency,mmlu,validation,100,33,0.33,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_0_5b_instruct_mmlu.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_0_5b_instruct_mmlu.csv
qwen2_5_1_5b_instruct,self_consistency,csqa,validation,100,67,0.67,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_1_5b_instruct_csqa.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_1_5b_instruct_csqa.csv
qwen2_5_1_5b_instruct,self_consistency,gsm8k,test,100,67,0.67,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_1_5b_instruct_gsm8k.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_1_5b_instruct_gsm8k.csv
qwen2_5_1_5b_instruct,self_consistency,mmlu,validation,100,50,0.5,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_1_5b_instruct_mmlu.jsonl,/home/xuyang_lab/cse12311031/26Spring-CS310-NLP-Project/output/raw/A/lightweight_100/self_consistency/qwen2_5_1_5b_instruct_mmlu.csv
